sdb               0.17   516.17 22323.37 16953.70 1469441.47 1302762.19    70.58    16.74    0.43   0.03  99.69
sdb               0.00     0.00  404.00 3000.00  3232.00 3072000.00   903.42   106.62   30.72   0.26  87.90
sdb               0.00     0.00    0.00 3620.00     0.00 3706880.00  1024.00   126.47   34.92   0.28 100.00
sdb               0.00     0.00    0.00 3691.00     0.00 3779584.00  1024.00   126.45   34.28   0.27 100.00
sdb               0.00     0.00    0.00 3751.00     0.00 3841024.00  1024.00   126.44   33.71   0.27 100.00
sdb               0.00     0.00    0.00 3771.00     0.00 3861504.00  1024.00   126.44   33.54   0.27 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.36   33.12   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.56   33.14   0.26 100.10
sdb               0.00     0.00    0.00 3817.00     0.00 3908608.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.45   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.44   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3768.00     0.00 3858432.00  1024.00   126.40   33.55   0.27 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.43   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.42   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.37   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3812.00     0.00 3903488.00  1024.00   126.46   33.18   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3817.00     0.00 3908608.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.45   33.15   0.26 100.00
